ISO3,Country,avg_life_expectancy
JPN,Japan,82.57727272727273
CHE,Switzerland,81.86363636363636
AUS,Australia,81.69545454545454
ISL,Iceland,81.53181818181818
ITA,Italy,81.48636363636363
SGP,Singapore,81.4590909090909
ESP,Spain,81.34545454545454
SWE,Sweden,81.2090909090909
FRA,France,81.02727272727272
LUX,Luxembourg,81.02727272727272
NOR,Norway,80.94090909090909
ISR,Israel,80.89090909090909
CAN,Canada,80.83636363636364
CYP,Cyprus,80.8
NZL,New Zealand,80.57272727272726
MLT,Malta,80.39999999999999
NLD,Netherlands,80.36363636363636
KOR,"Korea, Republic of",80.33636363636364
AUT,Austria,80.25
KWT,Kuwait,80.08636363636364
ARE,United Arab Emirates,79.98181818181818
GRC,Greece,79.97272727272728
FIN,Finland,79.97272727272728
DEU,Germany,79.91818181818182
IRL,Ireland,79.9090909090909
BEL,Belgium,79.86818181818181
GBR,United Kingdom,79.78636363636363
CRI,Costa Rica,79.73636363636363
PRT,Portugal,79.50909090909092
DNK,Denmark,79.29545454545455
SVN,Slovenia,79.04545454545455
CHL,Chile,79.0409090909091
USA,United States,77.91363636363636
PER,Peru,77.67727272727274
CUB,Cuba,77.58181818181818
LBN,Lebanon,77.57272727272726
CZE,Czechia,77.29545454545455
PAN,Panama,77.26818181818182
NIC,Nicaragua,76.80454545454546
HRV,Croatia,76.74090909090908
BIH,Bosnia and Herzegovina,76.62272727272727
BRN,Brunei Darussalam,76.52272727272727
ALB,Albania,76.23636363636363
URY,Uruguay,76.21818181818182
JOR,Jordan,76.13636363636364
TUN,Tunisia,75.98181818181818
POL,Poland,75.96818181818182
IRN,"Iran, Islamic Republic of",75.89545454545454
BRB,Barbados,75.72727272727273
COL,Colombia,75.64999999999999
ARG,Argentina,75.64090909090909
ATG,Antigua and Barbuda,75.54545454545455
SVK,Slovakia,75.41818181818182
MNE,Montenegro,75.33181818181818
EST,Estonia,75.20454545454545
LCA,Saint Lucia,75.09545454545454
ECU,Ecuador,75.07727272727273
DZA,Algeria,74.91363636363636
MEX,Mexico,74.89545454545454
LKA,Sri Lanka,74.8
THA,Thailand,74.8
PRY,Paraguay,74.77727272727272
CHN,China,74.62272727272727
MDV,Maldives,74.56363636363636
MKD,North Macedonia,74.46818181818182
SAU,Saudi Arabia,74.43636363636364
HUN,Hungary,74.35454545454546
QAT,Qatar,74.23636363636363
MYS,Malaysia,74.21363636363637
SRB,Serbia,74.02272727272727
VEN,"Venezuela, Bolivarian Republic of",73.80909090909091
BRA,Brazil,73.65454545454546
CPV,Cabo Verde,73.64090909090909
SLV,El Salvador,73.57727272727273
LBY,Libya,73.47272727272728
BHR,Bahrain,73.44090909090909
ROU,Romania,73.43636363636364
BGR,Bulgaria,73.42272727272727
OMN,Oman,73.4090909090909
DOM,Dominican Republic,73.37727272727273
BLZ,Belize,73.27272727272727
LTU,Lithuania,73.19545454545454
MUS,Mauritius,73.0409090909091
SYC,Seychelles,73.02272727272727
ARM,Armenia,73.01818181818182
VCT,Saint Vincent and the Grenadines,72.8
TTO,Trinidad and Tobago,72.8
LVA,Latvia,72.77727272727272
VNM,Viet Nam,72.76818181818182
JAM,Jamaica,72.52727272727272
BHS,Bahamas,72.36363636363636
MAR,Morocco,72.18636363636364
MHL,Marshall Islands,72.18181818181819
NIU,Niue,72.18181818181819
TUV,Tuvalu,72.18181818181819
NRU,Nauru,72.18181818181819
COK,Cook Islands,72.18181818181819
KNA,Saint Kitts and Nevis,72.18181818181819
PSE,"Palestine, State of",72.18181818181819
AND,Andorra,72.18181818181819
PLW,Palau,72.18181818181819
DMA,Dominica,72.18181818181819
SUR,Suriname,72.0909090909091
GEO,Georgia,72.07727272727273
TON,Tonga,72.04545454545455
GRD,Grenada,71.9090909090909
BTN,Bhutan,71.33181818181818
BLR,Belarus,71.23636363636363
GTM,Guatemala,70.78636363636363
IRQ,Iraq,70.4090909090909
AZE,Azerbaijan,70.37727272727273
HND,Honduras,70.35000000000001
BGD,Bangladesh,70.34545454545454
WSM,Samoa,70.0909090909091
TJK,Tajikistan,70.05909090909091
UKR,Ukraine,69.95454545454545
EGY,Egypt,69.91818181818182
BOL,"Bolivia, Plurinational State of",69.67727272727274
PRK,"Korea, Democratic People's Republic of",69.6590909090909
KGZ,Kyrgyzstan,69.50909090909092
PHL,Philippines,69.38636363636364
IDN,Indonesia,69.14545454545454
NPL,Nepal,69.12727272727273
SYR,Syrian Arab Republic,69.12272727272727
MDA,"Moldova, Republic of",69.11363636363636
RUS,Russian Federation,68.7909090909091
KAZ,Kazakhstan,68.67272727272727
STP,Sao Tome and Principe,68.41363636363636
TKM,Turkmenistan,67.71363636363637
MRT,Mauritania,67.63636363636364
MNG,Mongolia,67.44545454545454
IND,India,67.29545454545455
FJI,Fiji,67.18181818181819
UZB,Uzbekistan,66.9090909090909
TLS,Timor-Leste,66.62272727272727
YEM,Yemen,66.61818181818181
SDN,Sudan,66.49090909090908
GUY,Guyana,66.18181818181819
VUT,Vanuatu,66.05
KHM,Cambodia,66.02272727272727
COM,Comoros,65.74545454545455
PNG,Papua New Guinea,64.9090909090909
SEN,Senegal,64.89090909090909
FSM,"Micronesia, Federated States of",64.79545454545455
SLB,Solomon Islands,64.45
MMR,Myanmar,64.32272727272726
LAO,Lao People's Democratic Republic,64.24090909090908
PAK,Pakistan,64.23636363636363
GHA,Ghana,62.45
GMB,Gambia,62.28636363636363
DJI,Djibouti,62.25454545454545
ETH,Ethiopia,62.18636363636363
MDG,Madagascar,61.97727272727273
GAB,Gabon,61.790909090909096
RWA,Rwanda,61.627272727272725
KIR,Kiribati,61.23181818181818
TZA,"Tanzania, United Republic of",61.2
BEN,Benin,61.13181818181818
KEN,Kenya,60.89090909090908
ERI,Eritrea,60.39090909090908
HTI,Haiti,60.032863636363636
TGO,Togo,59.627272727272725
NGA,Nigeria,59.41818181818182
LBR,Liberia,59.39545454545455
COG,Congo,59.38636363636363
UGA,Uganda,59.36363636363637
GNQ,Equatorial Guinea,59.07272727272727
ZAF,South Africa,58.60454545454545
NAM,Namibia,58.440909090909095
AFG,Afghanistan,58.41363636363636
MLI,Mali,58.277272727272724
BFA,Burkina Faso,58.209090909090904
GIN,Guinea,58.127272727272725
CIV,Côte d'Ivoire,57.65909090909091
BDI,Burundi,57.65768181818182
COD,"Congo, The Democratic Republic of the",57.56363636363637
AGO,Angola,57.43181818181818
SSD,South Sudan,57.31363636363637
BWA,Botswana,57.2465
NER,Niger,57.15
CMR,Cameroon,57.10909090909092
MWI,Malawi,56.06677272727273
ZMB,Zambia,55.7395
TCD,Chad,55.6
SLE,Sierra Leone,55.33181818181818
GNB,Guinea-Bissau,55.13181818181818
MOZ,Mozambique,54.209090909090904
ZWE,Zimbabwe,52.50277272727272
SOM,Somalia,51.36922727272727
SWZ,Eswatini,49.68877272727273
CAF,Central African Republic,49.25277272727272
LSO,Lesotho,48.75172727272727
