Country,ISO3,proj_le,Scenario
Afghanistan,AFG,60.31033333333329,baseline
Albania,ALB,74.61001666666661,baseline
Algeria,DZA,73.77977103082094,baseline
Andorra,AND,71.26843333333343,baseline
Angola,AGO,61.590666666666706,baseline
Antigua and Barbuda,ATG,79.28666269841261,baseline
Argentina,ARG,74.80212426167564,baseline
Armenia,ARM,71.06555555555553,baseline
Australia,AUS,82.3868636363637,baseline
Austria,AUT,82.14088182003198,baseline
Azerbaijan,AZE,72.45790692395869,baseline
Bahamas,BHS,67.08583333333327,baseline
Bahrain,BHR,73.18448888888894,baseline
Bangladesh,BGD,72.62392496377885,baseline
Barbados,BRB,76.69199999999998,baseline
Belarus,BLR,73.95970777947555,baseline
Belgium,BEL,82.31027485569979,baseline
Belize,BLZ,72.59982907752479,baseline
Benin,BEN,66.41333333333328,baseline
Bhutan,BTN,76.98978809523813,baseline
"Bolivia, Plurinational State of",BOL,57.539666666666704,baseline
Bosnia and Herzegovina,BIH,76.34870039682544,baseline
Botswana,BWA,61.83566666666668,baseline
Brazil,BRA,70.80766666666665,baseline
Brunei Darussalam,BRN,75.23611538461546,baseline
Bulgaria,BGR,70.85599999999995,baseline
Burkina Faso,BFA,65.1516952380953,baseline
Burundi,BDI,66.65177169312163,baseline
Cabo Verde,CPV,73.00957104109466,baseline
Cambodia,KHM,71.71252998784843,baseline
Cameroon,CMR,67.83733333333339,baseline
Canada,CAN,80.14458043345527,baseline
Central African Republic,CAF,50.00448666666655,baseline
Chad,TCD,61.32249037444041,baseline
Chile,CHL,77.94202106316624,baseline
China,CHN,79.41527007469652,baseline
Colombia,COL,72.92901371791795,baseline
Comoros,COM,67.65269047619053,baseline
Congo,COG,64.50814103313847,baseline
"Congo, The Democratic Republic of the",COD,65.52912976190481,baseline
Cook Islands,COK,71.26726184371182,baseline
Costa Rica,CRI,73.55692120382025,baseline
Croatia,HRV,78.32525030663783,baseline
Cuba,CUB,73.14634534329397,baseline
Cyprus,CYP,81.5126985560736,baseline
Czechia,CZE,77.26466666666671,baseline
Côte d'Ivoire,CIV,67.90983333333337,baseline
Denmark,DNK,81.89643293650795,baseline
Djibouti,DJI,66.86383641451147,baseline
Dominica,DMA,69.7823691344561,baseline
Dominican Republic,DOM,74.83992654839209,baseline
Ecuador,ECU,70.61325000000005,baseline
Egypt,EGY,72.21119908424909,baseline
El Salvador,SLV,69.61166666666651,baseline
Equatorial Guinea,GNQ,62.77887500000002,baseline
Eritrea,ERI,64.87540505430249,baseline
Estonia,EST,78.22403968253981,baseline
Eswatini,SWZ,59.18900000000005,baseline
Ethiopia,ETH,68.57498055555571,baseline
Fiji,FJI,63.26372222222223,baseline
Finland,FIN,81.57253934583932,baseline
France,FRA,81.37258333333334,baseline
Gabon,GAB,66.79644040404035,baseline
Gambia,GMB,64.68347420634926,baseline
Georgia,GEO,73.05362333229931,baseline
Germany,DEU,81.65170329670326,baseline
Ghana,GHA,69.10725844155846,baseline
Greece,GRC,80.0060115915811,baseline
Grenada,GRD,74.64504317330814,baseline
Guatemala,GTM,66.92650105820105,baseline
Guinea,GIN,63.918708333333406,baseline
Guinea-Bissau,GNB,60.285333333333305,baseline
Guyana,GUY,66.09766666666665,baseline
Haiti,HTI,63.4113539562289,baseline
Honduras,HND,70.35200000000007,baseline
Hungary,HUN,75.4044162945985,baseline
Iceland,ISL,81.9326684343435,baseline
India,IND,68.02166666666666,baseline
Indonesia,IDN,66.98433333333332,baseline
"Iran, Islamic Republic of",IRN,72.72535187735099,baseline
Iraq,IRQ,77.09398950956442,baseline
Ireland,IRL,82.17271190476183,baseline
Israel,ISR,82.36045030303038,baseline
Italy,ITA,82.26525721500731,baseline
Jamaica,JAM,71.26457781938862,baseline
Japan,JPN,82.76899999999964,baseline
Jordan,JOR,73.7128891626336,baseline
Kazakhstan,KAZ,71.56075000000001,baseline
Kenya,KEN,74.6572833333332,baseline
Kiribati,KIR,61.09541013071891,baseline
"Korea, Democratic People's Republic of",PRK,72.84960585690305,baseline
"Korea, Republic of",KOR,82.64506666666648,baseline
Kuwait,KWT,77.71588383838377,baseline
Kyrgyzstan,KGZ,72.93602789677065,baseline
Lao People's Democratic Republic,LAO,71.90272672148834,baseline
Latvia,LVA,72.47346082363828,baseline
Lebanon,LBN,72.72812912619067,baseline
Lesotho,LSO,54.228409999999904,baseline
Liberia,LBR,68.14038888888888,baseline
Libya,LBY,73.0335640182711,baseline
Lithuania,LTU,72.93941242236022,baseline
Luxembourg,LUX,82.47963873404385,baseline
Madagascar,MDG,63.082648148148124,baseline
Malawi,MWI,65.37774074074082,baseline
Malaysia,MYS,72.6736029909643,baseline
Maldives,MDV,81.29475000000001,baseline
Mali,MLI,63.98554807692305,baseline
Malta,MLT,81.78441684149199,baseline
Marshall Islands,MHL,70.79689950659373,baseline
Mauritania,MRT,69.94644232827055,baseline
Mauritius,MUS,72.5464938864616,baseline
Mexico,MEX,66.76166666666659,baseline
"Micronesia, Federated States of",FSM,67.0246,baseline
"Moldova, Republic of",MDA,72.48243936996381,baseline
