Check,Cutoff_Year,Test_R2,Test_RMSE,Test_Samples,Feature_Group,R2_Drop,Year,Train_Fraction,Train_Samples
Temporal Sensitivity,2014.0,0.9884899118830562,0.7726505680992188,1344,,,,,
Temporal Sensitivity,2015.0,0.9885771731595309,0.7632654440860758,1152,,,,,
Temporal Sensitivity,2016.0,0.9887477859543155,0.7515182328642208,960,,,,,
Temporal Sensitivity,2017.0,0.9884487426801921,0.7551309077843394,768,,,,,
Feature Group Ablation,,0.9884533831594773,0.7549792134171901,768,Baseline (all features),0.0,,,
Feature Group Ablation,,0.9883691669399085,0.7577274635198183,768,Without immunization,8.42162195687779e-05,,,
Feature Group Ablation,,0.9874393192003638,0.7874340795942933,768,Without economic,0.0010140639591135203,,,
Feature Group Ablation,,0.8480287181412496,2.7389769698381015,768,Without mortality,0.1404246650182277,,,
Feature Group Ablation,,0.9880543885270209,0.7679126288433265,768,Without nutrition,0.00039899463245640643,,,
Prediction Stability by Year,,0.9956055345341772,0.47678716315556036,192,,,2018.0,,
Prediction Stability by Year,,0.992099881245891,0.6273628295643019,192,,,2019.0,,
Prediction Stability by Year,,0.9855022082257547,0.8256025553695423,192,,,2020.0,,
Prediction Stability by Year,,0.9796769119450788,0.9860950581155586,192,,,2021.0,,
Sample Size Sensitivity,,0.9842191173974968,0.8826189787629719,768,,,,0.25,864.0
Sample Size Sensitivity,,0.986776622080876,0.8079394647610733,768,,,,0.5,1728.0
Sample Size Sensitivity,,0.9871729644176289,0.7957392256719223,768,,,,0.75,2592.0
Sample Size Sensitivity,,0.988516999001274,0.7528965698635991,768,,,,1.0,3456.0
