Feature,Random_Forest,Gradient_Boosting,Ridge_Coefficient,Lasso_Coefficient,Random_Forest_Normalized,Gradient_Boosting_Normalized,Ridge_Coefficient_Normalized,Lasso_Coefficient_Normalized
Life_Expectancy_RollingMean_3yr,0.8487714044645165,0.8271540734201959,2.1169315331884273,0.005677697797033758,1.0,1.0,0.6958058178020873,0.0009144624329491704
Life_Expectancy_Lag_1,0.13129780712527742,0.13675234268633862,3.0424171213103604,6.208781894651486,0.1546916006296327,0.16532874234770065,1.0,1.0
Life_Expectancy_Lag_2,0.00561833596027749,0.014146109931857633,2.9172186345036013,1.4956640302744593,0.006619374699389237,0.017102146246303233,0.958849006623774,0.24089492200763069
Life_Expectancy_RollingMean_5yr,0.003533044546147376,0.0038270348094656187,0.15981112640498654,0.0,0.0041625395572513985,0.004626749637635499,0.05252768441434367,0.0
Life_Expectancy_YoY_Change,0.0032275620646699987,0.004297995156237297,0.4332075512334669,0.0,0.003802628184329847,0.005196124028580958,0.14238926943945335,0.0
Adult Mortality,0.0014864289781769365,0.003907099511663376,0.256278612045284,0.15024372764231547,0.0017512712732289954,0.004723545028930254,0.08423519912841719,0.024198583585572867
Life_Expectancy_Lag_3,0.0010121457096725769,0.0009841643720123951,0.3799210218299893,1.1004748212649882,0.0011924832815393114,0.0011898198940651747,0.12487473172855353,0.1772448831248179
Total expenditure,0.0005790474896244053,0.0008980383435768365,0.05341866163828044,0.0,0.0006822184236870256,0.0010856965738723157,0.01755796773036604,0.0
Disease_Burden,0.00044731117697211506,0.001163568346389667,0.10832042476609535,0.05643201791266198,0.0005270101874536176,0.0014067129495940619,0.03560341019887571,0.00908906430765026
Combined_Mortality,0.00032861425500686395,0.00021514058838097033,0.4773707388287741,0.0,0.0003871646161479536,0.0002600973570635836,0.15690509216670853,0.0
Population,0.00031715834326834653,0.0005239006480664946,0.0209445524379236,0.0,0.0003736675641993846,0.0006333773415395514,0.006884181755098341,0.0
Income composition of resources,0.0002487753713843549,0.0002836038387390392,0.020117174578870887,0.0,0.0002931005569648113,0.00034286700368453354,0.006612234212712581,0.0
BMI,0.0002480384325162773,0.0004600647234091719,0.041895398737851926,0.0,0.0002922323150987431,0.0005562019679197761,0.013770432214701612,0.0
Years_Since_2000,0.0002438373544872844,0.00036115862716175145,0.09027709729823276,0.0,0.0002872827161762354,0.00043662799805651464,0.029672820556357726,0.0
Lifestyle_Risk,0.00024284209045570296,0.00030567286954429545,0.04449850804205107,0.0,0.00028611012244093,0.00036954768085753356,0.014626037873099297,0.0
Alcohol,0.0002230329439233223,0.000568352344574571,0.04672811956223968,0.0,0.00026277151038568757,0.0006871178693764915,0.015358880028296057,0.0
Hepatitis B,0.00020967128040358827,0.00030641939675165534,0.07175592057766216,0.0,0.00024702915213769286,0.0003704502058300252,0.02358516854084659,0.0
percentage expenditure,0.00019769259183398044,0.00019489544596874332,0.29281287886454793,0.0,0.00023291617836572053,0.0002356216964064155,0.09624350218566817,0.0
Socioeconomic_Index,0.00018846265567702144,0.0004602223716245742,0.29839018731743555,0.25733181391074356,0.0002220417119211516,0.0005563925590326874,0.09807668554958689,0.041446425124454817
Polio,0.0001617713201056041,0.00036492558893076233,0.041423835035621165,0.0,0.00019059468692593905,0.0004411821215143547,0.013615435814330428,0.0
Measles,0.00015093716539793555,0.00023857104589641593,0.010323247351755035,0.0,0.0001778301726519176,0.0002884239509453777,0.0033931071710866663,0.0
Health_Infrastructure,0.0001483825867747157,0.0002837240667189049,0.07128621123222917,0.08363439509166946,0.0001748204357430363,0.00034301235505706384,0.023430781641646296,0.013470338709065582
HIV/AIDS,0.00014711471443404806,0.00027549010856761674,0.059566524974226105,0.0,0.00017332666211447313,0.00033305779106967807,0.019578684512717628,0.0
Diphtheria,0.00014182231258439288,0.0003715349173905871,0.08852817045868061,0.0,0.00016709129435606696,0.0004491725657039068,0.02909797273969842,0.0
thinness 5-9 years,0.00013694858315620536,0.00017419650946906567,0.019965374453690593,0.0,0.00016134919536150633,0.0002105974147582702,0.006562339632473394,0.0
thinness  1-19 years,0.00012629703405870414,0.0001634312909501473,0.002672031470746173,0.0,0.00014879982218343464,0.00019758264657317824,0.0008782594115810578,0.0
Schooling,0.00012583029768080655,0.0004036238638426407,0.023236952724002703,0.0,0.000148249925738476,0.00048796696626747917,0.007637661700376776,0.0
Economic_Health_Resources,0.00010946442012412624,0.00042190158832173754,0.20561589638982444,0.0,0.00012896808203992984,0.000510064088274653,0.0675830723373218,0.0
GDP,9.90906608990161e-05,0.00025369520350313233,0.03266915530608107,0.0,0.00011674599353583507,0.0003067085222153705,0.010737894905091304,0.0
Child_Health_Score,7.266949266177637e-05,5.1435721187900175e-05,0.0031291414616695457,0.0,8.561727254186068e-05,6.218396649516435e-05,0.0010285050789885883,0.0
under-five deaths,5.614977717210076e-05,4.583434530649317e-05,1.0087224063177003,0.0,6.615418106306872e-05,5.541210129930562e-05,0.3315529613780396,0.0
Development_Level,5.2942327350462217e-05,8.445323592903928e-05,0.3164685601145006,0.0,6.237524859106574e-05,0.00010210097325620843,0.10401879410217048,0.0
infant deaths,4.788150258603876e-05,5.7325082026885424e-05,0.511813687548572,0.0,5.641271882415365e-05,6.930399531232698e-05,0.16822600818395847,0.0
Status_Encoded,1.4849707226088656e-06,0.0,0.3603720031343766,0.03300990198012061,1.7495531951217448e-06,0.0,0.11844924241655773,0.005316647055770596
