Model,Feature_Set,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2,RMSE_Gap,R2_Gap,Train_Time
Gradient Boosting,Baseline,0.6318925322247856,1.1148452292994402,0.37262675881968105,0.5629950374886369,0.9955067305379164,0.982055456769829,-0.4829526970746546,0.013451273768087413,1.0324029922485352
Random Forest,Engineered,1.0549893892521218,1.13685301574637,0.4505144659457405,0.5462205267346082,0.9874751595655754,0.9813399894504811,-0.08186362649424828,0.006135170115094346,0.3074369430541992
Random Forest,Baseline,1.0607381807484535,1.1377138029469953,0.4530051115784972,0.536351892021186,0.9873382882879501,0.9813117212769523,-0.07697562219854182,0.0060265670109977965,0.2455432415008545
Random Forest,Polynomial,1.051151738948231,1.1411747303822937,0.4492213984925665,0.5458334687699349,0.9875661150488213,0.981197848784836,-0.09002299143406267,0.006368266263985345,0.35722994804382324
Gradient Boosting,Engineered,0.6087578068493679,1.1549095587735827,0.3602645940101476,0.5888939756163554,0.9958297210503181,0.9807425313158222,-0.5461517519242148,0.015087189734495854,1.4588463306427002
Gradient Boosting,Polynomial,0.6244226281545845,1.1576337850002103,0.368506014113059,0.5984719558097102,0.9956123367932914,0.9806515742798191,-0.5332111568456258,0.014960762513472337,1.8317201137542725
Ridge,Polynomial,1.6724396640458212,1.5681472606919404,0.908080810442269,0.8600213234333153,0.968524188478395,0.9644960285163897,0.10429240335388079,0.00402815996200534,0.0017461776733398438
Lasso,Polynomial,1.7391202462124051,1.577585944808472,0.8765891738176953,0.7802516956613652,0.965964256629709,0.9640673451948372,0.1615343014039332,0.0018969114348718064,0.08663511276245117
Lasso,Engineered,1.748794119321078,1.584745123275068,0.8684612782016838,0.7680822617579688,0.965584555212116,0.9637404761664169,0.1640489960460101,0.0018440790456990541,0.004882097244262695
Lasso,Baseline,1.7510106041603426,1.588009647896529,0.8639715699676512,0.7656944148436368,0.9654972611714847,0.9635909353653016,0.1630009562638135,0.0019063258061831068,0.008932828903198242
Ridge,Engineered,1.7324979670954055,1.5887636875677251,0.8909414535159739,0.8291779335511579,0.9662229679653316,0.963556350692383,0.14373427952768036,0.0026666172729485904,0.002847909927368164
Ridge,Baseline,1.7365574201634655,1.5906701866009534,0.8858544172270761,0.8287175463244538,0.9660644951486573,0.9634688342540287,0.1458872335625121,0.002595660894628593,0.0036737918853759766
