Country,MAE_2018_2021
Sierra Leone,0.10575000000000401
Singapore,0.11999999999992994
Senegal,0.13299999999998136
Solomon Islands,0.17699999999997473
"Korea, Republic of",0.25649999999996
Switzerland,0.26074999999989146
France,0.28325000000001666
Niue,0.29574999999998397
Indonesia,0.298790000000011
Albania,0.3150000000000155
Ireland,0.3474999999999788
Saint Vincent and the Grenadines,0.35024999999998485
Tonga,0.36650000000001626
Israel,0.3740000000000663
Morocco,0.37500000000001776
Montenegro,0.3917499999999805
Japan,0.40749999999989583
Netherlands,0.45324999999998283
Slovenia,0.45999999999994046
Belize,0.47024999999999295
Austria,0.4720000000000866
Guinea-Bissau,0.4984425000000048
"Iran, Islamic Republic of",0.513499999999997
Mauritania,0.5152499999999804
Mozambique,0.520384999999969
Belgium,0.5810000000000137
Dominican Republic,0.5861924999999992
Niger,0.5962499999999906
Dominica,0.6127500000000161
Uzbekistan,0.6245000000000118
Brunei Darussalam,0.6367500000000597
Eritrea,0.6420000000000634
Afghanistan,0.6472925000000345
Barbados,0.672999999999984
Nauru,0.6892500000000226
Finland,0.6949999999999683
Zimbabwe,0.7018624999999936
Gabon,0.7149225000000072
Libya,0.7410000000000032
Honduras,0.7419999999999796
Georgia,0.7527499999999918
Iceland,0.75649999999996
Estonia,0.7719999999999843
Central African Republic,0.7880024999999691
Iraq,0.7920000000000087
Denmark,0.7985000000000468
Mauritius,0.8024999999999345
Saudi Arabia,0.8095000000000141
Portugal,0.8097499999999656
Greece,0.8152500000000238
Romania,0.8182500000000026
Cook Islands,0.8247500000000265
Papua New Guinea,0.8290000000000539
Latvia,0.832250000000009
Norway,0.8599999999999248
United Kingdom,0.860500000000016
Costa Rica,0.8677500000000116
Tuvalu,0.8682499999999642
Hungary,0.87025000000002
Cyprus,0.8742500000000497
Croatia,0.8807499999999564
Australia,0.9002499999999962
Djibouti,0.9069999999999752
Bahrain,0.907749999999993
Belarus,0.91550000000003
Mali,0.9161174999999595
Seychelles,0.9190000000000289
Vanuatu,0.9262499999999854
Argentina,0.9300000000000033
Italy,0.9549999999999912
Saint Kitts and Nevis,0.961749999999963
Poland,0.9640000000000022
Slovakia,0.9674999999999798
Malta,0.9702499999999894
Lesotho,0.9903249999999861
South Sudan,0.9965975000000125
United States,1.0047500000000014
North Macedonia,1.0087499999999778
Germany,1.0412500000000193
Lebanon,1.0637499999999775
Marshall Islands,1.0649999999999835
Czechia,1.076000000000061
Tajikistan,1.0810000000000137
New Zealand,1.0842500000000754
Angola,1.0981900000000024
"Palestine, State of",1.0985000000000085
Congo,1.1086349999999676
Malaysia,1.1240000000000308
Serbia,1.1252499999999834
Colombia,1.126499999999968
Chad,1.1282499999999906
Egypt,1.1417500000000054
Algeria,1.163000000000018
Kyrgyzstan,1.195999999999998
Pakistan,1.2030000000000314
