Country,pred_life_expectancy
"Korea, Republic of",82.59500000000007
Switzerland,82.1900000000001
Israel,82.03899999999993
France,81.85799999999996
Singapore,81.84100000000004
Japan,81.6370000000001
Norway,81.59100000000001
Cyprus,81.47599999999997
Finland,81.424
Ireland,81.026
Italy,80.92699999999999
Luxembourg,80.86399999999998
Iceland,80.64200000000001
Denmark,80.63399999999996
Greece,80.46399999999996
Australia,80.38400000000003
Belgium,80.18
New Zealand,79.84499999999997
Netherlands,79.81800000000003
Austria,79.80299999999997
Sweden,79.785
Estonia,79.656
Malta,78.676
Slovenia,78.53699999999999
United States,78.52800000000006
Spain,78.48500000000001
Andorra,78.25299999999999
Qatar,78.213
United Kingdom,78.16199999999998
Canada,77.94799999999998
Costa Rica,77.77
Uruguay,77.72900000000001
Portugal,77.68899999999998
Croatia,77.678
Germany,77.62599999999996
Czechia,77.44399999999995
China,77.212
Latvia,76.77499999999998
Cuba,76.757
Russian Federation,76.61000000000001
Maldives,76.60699999999999
Hungary,76.522
Lithuania,76.35999999999999
Barbados,76.331
Poland,76.28000000000003
Brunei Darussalam,75.93299999999996
Bulgaria,75.932
Colombia,75.86899999999997
Oman,75.79399999999998
Romania,75.64900000000003
Chile,75.63499999999999
Bahrain,75.59099999999998
Trinidad and Tobago,75.57600000000001
Seychelles,75.52800000000002
Albania,75.431
Saint Kitts and Nevis,75.42399999999999
Panama,75.40499999999996
United Arab Emirates,75.39600000000004
Kuwait,75.36999999999998
Bosnia and Herzegovina,75.33599999999996
Slovakia,75.08699999999995
Brazil,75.08600000000003
Palau,75.01499999999997
Mexico,74.96700000000003
Serbia,74.94500000000005
Saint Vincent and the Grenadines,74.87400000000001
Peru,74.791
El Salvador,74.756
Bahamas,74.71099999999998
Saudi Arabia,74.68399999999998
Argentina,74.65799999999996
Malaysia,74.564
Guyana,74.47800000000002
Antigua and Barbuda,74.35699999999999
Guatemala,74.29899999999999
Tuvalu,74.19099999999997
Belize,74.161
Nauru,74.15400000000002
Uzbekistan,73.95299999999997
Montenegro,73.92800000000003
North Macedonia,73.63900000000001
Paraguay,73.634
Marshall Islands,73.619
Jamaica,73.51900000000003
Dominican Republic,73.38999999999999
Dominica,73.24800000000003
Tonga,73.20699999999997
Belarus,73.10400000000003
Armenia,72.78222999999998
Kazakhstan,72.75599999999999
Mongolia,72.569
Grenada,72.508
Samoa,72.36199999999997
Tunisia,72.31746
Niue,72.18699999999998
Mauritius,72.174
Bhutan,72.06599999999999
Turkmenistan,71.936
Cook Islands,71.65300000000003
Egypt,71.353
Ecuador,71.195
Thailand,71.19000000000001
Nicaragua,71.187
Algeria,71.16300000000007
Azerbaijan,71.10823
Iraq,70.95499999999998
Sri Lanka,70.71423
Fiji,70.64269000000002
South Africa,70.61846
Georgia,70.40699999999998
"Iran, Islamic Republic of",70.39699999999998
Morocco,70.24723000000003
Bangladesh,70.22699999999998
"Palestine, State of",70.10546000000001
Ukraine,69.88800000000003
"Moldova, Republic of",69.81499999999996
Honduras,69.574
Pakistan,69.423
Tajikistan,69.23645999999998
Botswana,69.16199999999999
Saint Lucia,68.98000000000003
Jordan,68.97022999999999
Viet Nam,68.92868999999997
"Bolivia, Plurinational State of",68.90599999999993
"Micronesia, Federated States of",68.75099999999998
Suriname,68.73899999999998
Mauritania,68.70900000000003
India,68.246
Kyrgyzstan,68.20099999999998
Timor-Leste,67.87
Senegal,67.78000000000002
Lebanon,67.16399999999999
Kenya,67.06161000000003
Nigeria,66.83723000000002
Equatorial Guinea,66.71884000000001
Ghana,66.22799
Vanuatu,66.11199999999992
Gabon,65.37423000000001
Solomon Islands,65.26899999999996
Papua New Guinea,65.18999999999996
Indonesia,65.09183999999999
Comoros,64.99168999999999
Cabo Verde,64.10029000000004
Burkina Faso,63.94600000000001
Sudan,63.94300000000001
Sao Tome and Principe,63.87953000000002
Namibia,63.65315
Djibouti,63.46800000000002
Eritrea,63.16599999999996
Kiribati,63.09800000000002
South Sudan,62.35299999999997
Eswatini,62.29583000000002
Cameroon,62.159690000000026
Nepal,62.115920000000045
Yemen,62.02537999999995
Ethiopia,61.94700000000001
Malawi,61.810920000000024
Congo,61.80446
Guinea,61.77123000000002
Gambia,61.453759999999996
Rwanda,61.41523000000002
Syrian Arab Republic,61.41399999999992
Angola,61.41223000000003
Sierra Leone,61.39900000000001
Libya,61.27345000000001
Uganda,61.21668999999998
Lao People's Democratic Republic,61.185229999999976
Chad,61.112230000000025
Niger,60.724
Burundi,60.719999999999956
Côte d'Ivoire,60.43669000000003
Philippines,60.25021000000002
"Tanzania, United Republic of",60.14684000000002
"Korea, Democratic People's Republic of",60.09807000000003
Mali,59.91515000000003
Liberia,59.705
Benin,59.19600000000003
Cambodia,58.609820000000006
Somalia,58.59561000000002
Haiti,58.39791999999999
Lesotho,58.35569000000001
Afghanistan,57.64306999999996
"Venezuela, Bolivarian Republic of",56.20852999999999
Guinea-Bissau,56.060610000000004
"Congo, The Democratic Republic of the",55.96122999999999
Zambia,55.602760000000025
Togo,55.53775000000002
Zimbabwe,55.52406000000003
Myanmar,53.76392000000001
Mozambique,53.635759999999976
Central African Republic,52.440380000000026
Madagascar,51.65730000000002
